made,西天満カフェ,Document,"[KAHM-bx1] メニュー/メニューPOP/豊子カーテン/会員カード/イベント案内チラシ/レシピ/伝言ノートx2/営業中のぼり/開店祝いプレート (2019)",
made,カフェファイル,Document/Receipt,"[KAHM] レシート支払い控え,メモ, 2019",
made,カフェ資料,Receipt,"[KAHM] 売上伝票,カフェレシート, 2019",
gift,メンバー相関図,Document,"[KAHM-bx2-f.g] by あっち, 2019",
gift,食品サンプル,Figure,"[KAHM-bx1] 目玉焼き,クロックムッシュ by Sammy Stein, 2019",
gift,手紙,Letter,"[KAHM-bx2-f.g] by anna,emma,laurel,vanessa,almand,someone",
gift,髪の毛,Hair,"[KAHM-bx2-f.g] by sammy,vanessa,sevrine,kaori, 2019",
collaborations,water tasting,Document,"[KAHM-bx2-f.g] by laurel,あっち,まろ,かおちょ, 2019",
gift,加賀屋天満宮の手ぬぐい,Cloth,"[KAHM-bx2] 加賀屋天満宮",
made,”Only Holy Stories”,資料,”[KAHM-bx2] メモ(2020)”,
made,音ビルメモ,Document,"[KAHM-bx2-f.2] ホワイトボードコピー機のメモ,音ビルでの過ごし方,わかば制作,プレイピースゲーム試作",
