gift,010001111000,Drawing,"[KAHM] メモ用紙に蛍光ペン/鉛筆x2, 2016",
bought,皆藤齋,Drawing,"[KAHM] グレー厚紙に鉛筆,白上質紙にペン, 2016",
bought,Kazuki & Rat,Papercraft,"[KAHM] by 矢満田一輝, 2016 (https://www.kazquiz.com/kazuki-rat)",
bought,沖真秀 ,Paint,"[KAHM] 木製パネルに絵の具(#29APR17SAT at FAITH), 2017(http://mashuoki.blogspot.com/2017/04/29apr17sat.html)",
bought,沖真秀 ,Ceramic,"[KAHM] 陶器の置物",
gift,Alexis Beauclair,Artwork,"[KAHM] ガラス板にリソグラフプリント(GOUFFRE Group Show at レトロ印刷JAM), 2017",
gift,Alexis Beauclair,Artwork,"[KAHM] マグネットパズル(FACES/CATACLOP at PANTALOON), 2017",
gift,丸目龍介,Papercraft,"[KAHM]  ∧°┐ペーパー帽子, 2018",
collaborations, 02,Card,"[KAHM] things that i (we) heard in NewYork by Sarah Marshall, 2018",
collaborations,03,Artwork,"[KAHM] Nissed(CDケース,メモ用紙) by松延総司, 2018 ",
gift,TWS 1,Artwork,"[KAHM]  小作品×8 by 松尾信太郎 , 2018",


