made,OTO Building,Website/Flag,"[KAHM-bx2] のぼり, 2019 | ウェブサイト, 2019 - 2022",
made,"Peace for Future",Pocket Tissue/Poster/Website,"[KAHM-bx2] ポケットティッシュ/A3プリント, 2019 | ウェブサイト, 2022",
made,"音ビルマグネット",Magnet Sheet,"[KAHM-bx2] 2019",
made,ベータルームへようこそ,Booklet,"[KAHM-bx2] 音ビルB室での過ごし方についての提案, 2019",
made,New Life Collection,Website/Poster/Flag,"[KAHM-bx2] 第一回間違い探しポスター, 2019 | のぼり, 2020 | ウェブサイト, 2020",
made,わかば試作品,Booklet,"[KAHM-bx2] 2019",
made,A Piece of プレイタイムズ,Document,"[KAHM-bx2] 2019",
made,プレイタイムズ,Website/Rolled Label Paper,"[KAHM-bx2] 2019",
made,"カッティングシール","Sticker","[UR-4.5-WW] Map x2, infomation x1, ichoose x3, Now Playing,　月　日x5, 2019",
gift,インセクツ大阪特集,Book,"[KAHM-bx2] インセクツ大阪特集, 2019",
made,"大 chotto crazy 2020",Stamp,"[KAHM-bx2] はんこ 3種(大/chotto crazy/2020), 2020",
collaborations,"大 chotto crazy 2020",Artwork/Website,"[KAHM-bx2] 光るねんど(こす),書道(芝浴),やすり(石を磨きたい),ハンカチ(藍染),透明紙イラスト(重ね合わせ),カセットテープ(暗闇でお喋り録音記録),その他メモ",
made,"Only Holy Stories",Advertisement/Document,"[KAHM-bx2] メモ(2020)",
collaborations,Christmas 5dition,Advent Calendar,"[KAHM-bx2] Only Holy Stories | BnA Alter Meuseum, 2020",
collaborations,"サイン（非公式）",Artwork/Website,"[KAHM-bx2] ヤバめの金属バット工場, 2020",
made,新しい生活を集める,Website/Rolled Label Paper,"[KAHM-bx2] 2021",
made,"Your Drawing is Seems So Beautiful",Photo Card,"[KAHM-bx2] WWW to Print ×8, 2021",
made,音ビルメモ,Document,"[KAHM-bx2-f.2] ホワイトボードコピー機のメモ,音ビルでの過ごし方,わかば制作,プレイピースゲーム試作",
collaborations,音ビル取り決め,Document,"[KAHM-bx2-f.1] 緊急事態宣言及びまん延防止等重点措置下における取り決めについて by club Duphnia/icecream music/TRA-TRAVEL/ペフ, 2021",
made,音ビル活動記録,Booklet,"[KAHM-bx2] 音ビル活動にまつわる書類・メモをまとめた冊子(2022)",
made,千島財団助成記録,Booklet,"[KAHM-bx2] 千島財団からの助成にまつわる書類・メモをまとめた冊子(2022)",
free,"名村造船所資料 3種",Booklet,"[KAHM-bx1] 名村テクニカルレビュー1998No.1/貨物保険案内/自動車保険申込書",
made,ノードブックx3,Book Cover,"[KAHM-bx2] カバー：和紙/黒い紙/Peace for Future | ノート部：ミスプリント, 2022",
made,ノードブックx3,Book Cover,"[KAHM-bx2] カバー:Peace Piece/Peace for Future/大切 | ノート部：白い紙, 2022"
