4.5 - 5.8.2022, 銀座 蔦屋書店 × TRANS BOOKS,at 銀座 蔦屋書店,https://store.tsite.jp/ginza/event/architectural-design/25208-1546330303.html, shop
3.12 - 3.21.2022,LAST BAZAAR,at 音ビル,https://creative-community.space/pehu/2019-2021/goodbye.html, community
4.10 - 4.18.2021, ヤバめの金属バット工場 渋谷製作所, at ヨシモト∞ドーム ステージⅡ,#, show,none
4.3.2021,音の出るものをいっぱい並べる音楽会 こゝろ,at 音ビル,http://chottocrazy.pe.hu/2021/cocoro/, live, none
11.21 - 12.27.2020, Only Holy Stories,at BnA Alter Museum,https://bnaaltermuseum.com/exhibition/only-holy-stories/
11.20 - 12.7.2020,ヤバめの金属バット工場,at ラフ＆ピース アート ギャラリー,#, show,none
6.27.2020 - 1.24.2021,楽観のテクニック,at BnA Alter Museum,https://bnaaltermuseum.com/exhibition/the-technique-of-optimism/, show
4.4.2020,PURE VOYAGE at YouTube,at 音ビル,https://youtu.be/f-qrM1jah54, live
12.1.2019,サラウンドサーキット,at 音ビル,https://surround-circuit.web.app/, live
11.23 - 11.24.2019, TRANS BOOKS 2019, at TAM COWORKING TOKYO,https://transbooks.center/, shop
9.21.2019,Beauty spot in ペフ,at 全感覚祭 19,https://zenkankakufes.com, shop
9.1 - 9.16.2019,A+A- AA CC K2 X W,at BnA Alter Museum,http://ichoose.pe.hu/aaacck2xw/, show
4.1 - 4.29.2019,We are pehu, at 第七藝術劇場,#, show, none
3.27 - 4.7.2019,"","Echigo-Tsumari Art Triennale “A very large room for art/book: reading, making, thinking” document and more",http://urx.blue/2DxV, show
1.19 - 3.24.2019,"A very large room for art/book:reading, making, thinking",Edition.nord and friends,https://ux.nu/CG129, show
1.6 - 9.15.2019,"creative, community space",大阪府大阪市北区西天満4-8-1, http://vg.pe.hu/jp/, residency
12.1.2018, #magicringmakefriendship, at LIVERARY Extra, http://newlifecollection.com/ca1/3/p-r1-s/, shop
10.20-10.21.2018,NEW LIFE COLLECTION,at 全感覚祭 18,http://pyouth-mag.com/zenkankaku18/, shop
8.17.2018 - 12.30.2018,"creative, community space",ギャラリー・コミュニティスペースの運営を通して出会った素晴らしい仲間たちを運営メンバーに加え、∧°┐ を再始動する準備期間,http://vg.pe.hu/jp/, community
12.16.2017 - 4.30.2018,"gallary, community space",半年間に8の展覧会と28のコミュニティイベントなどを開催,http://vg.pe.hu/1f/, show
